Date,Description,Amount,Category,Account,Type,Confidence,IsRecurring,RecurringPattern
2024-06-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-06-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-06-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-06-05,"Restaurant",-47.03,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-07,"Grocery Store",-149.62,"Groceries","Checking","Debit",0.75,false,""
2024-06-08,"Online Purchase",-113.21,"Shopping","Credit Card","Debit",0.5,false,""
2024-06-09,"Coffee Shop",-17.62,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-10,"Gas Station",-60.89,"Transportation","Credit Card","Debit",0.7,false,""
2024-06-13,"Restaurant",-47.49,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-14,"Grocery Store",-109.23,"Groceries","Checking","Debit",0.75,false,""
2024-06-16,"Movie Theater",-134.35,"Entertainment","Checking","Debit",0.5,false,""
2024-06-17,"Coffee Shop",-16.32,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-21,"Grocery Store",-123.05,"Groceries","Checking","Debit",0.75,false,""
2024-06-21,"Restaurant",-66.77,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-24,"Pharmacy",-131.46,"Healthcare","Credit Card","Debit",0.5,false,""
2024-06-25,"Gas Station",-54.22,"Transportation","Credit Card","Debit",0.7,false,""
2024-06-25,"Coffee Shop",-55.6,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-28,"Grocery Store",-106.79,"Groceries","Checking","Debit",0.75,false,""
2024-07-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-07-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-07-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-07-05,"Restaurant",-64.75,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-07,"Grocery Store",-135.41,"Groceries","Checking","Debit",0.75,false,""
2024-07-08,"Online Purchase",-139.97,"Shopping","Credit Card","Debit",0.5,false,""
2024-07-09,"Coffee Shop",-20.05,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-10,"Gas Station",-53.6,"Transportation","Credit Card","Debit",0.7,false,""
2024-07-13,"Restaurant",-18.72,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-14,"Grocery Store",-143.26,"Groceries","Checking","Debit",0.75,false,""
2024-07-16,"Movie Theater",-208.26,"Entertainment","Credit Card","Debit",0.5,false,""
2024-07-17,"Coffee Shop",-29.02,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-21,"Grocery Store",-130.78,"Groceries","Checking","Debit",0.75,false,""
2024-07-21,"Restaurant",-39.79,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-24,"Pharmacy",-219.12,"Healthcare","Checking","Debit",0.5,false,""
2024-07-25,"Gas Station",-63.95,"Transportation","Credit Card","Debit",0.7,false,""
2024-07-25,"Coffee Shop",-79.32,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-28,"Grocery Store",-120.98,"Groceries","Checking","Debit",0.75,false,""
2024-08-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-08-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-08-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-08-05,"Restaurant",-29.83,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-07,"Grocery Store",-124.62,"Groceries","Checking","Debit",0.75,false,""
2024-08-08,"Online Purchase",-118.98,"Shopping","Credit Card","Debit",0.5,false,""
2024-08-09,"Coffee Shop",-32.38,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-10,"Gas Station",-58.96,"Transportation","Credit Card","Debit",0.7,false,""
2024-08-13,"Restaurant",-27.65,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-14,"Grocery Store",-146.55,"Groceries","Checking","Debit",0.75,false,""
2024-08-16,"Movie Theater",-75.73,"Entertainment","Credit Card","Debit",0.5,false,""
2024-08-17,"Coffee Shop",-55.21,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-21,"Grocery Store",-149.4,"Groceries","Checking","Debit",0.75,false,""
2024-08-21,"Restaurant",-49.17,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-24,"Pharmacy",-29.53,"Healthcare","Checking","Debit",0.5,false,""
2024-08-25,"Gas Station",-58.97,"Transportation","Credit Card","Debit",0.7,false,""
2024-08-25,"Coffee Shop",-22.76,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-28,"Grocery Store",-134.56,"Groceries","Checking","Debit",0.75,false,""
2024-09-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-09-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-09-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-09-05,"Restaurant",-78.17,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-09-07,"Grocery Store",-136.41,"Groceries","Checking","Debit",0.75,false,""
2024-09-08,"Online Purchase",-84.79,"Shopping","Credit Card","Debit",0.5,false,""
2024-09-09,"Coffee Shop",-19.27,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-09-10,"Gas Station",-45.71,"Transportation","Credit Card","Debit",0.7,false,""
2024-09-13,"Restaurant",-39.06,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-09-14,"Grocery Store",-126.57,"Groceries","Checking","Debit",0.75,false,""
2024-09-16,"Movie Theater",-150.07,"Entertainment","Credit Card","Debit",0.5,false,""
2024-09-17,"Coffee Shop",-43.02,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-09-21,"Grocery Store",-115.24,"Groceries","Checking","Debit",0.75,false,""
2024-09-21,"Restaurant",-32.2,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-09-24,"Pharmacy",-166.14,"Healthcare","Checking","Debit",0.5,false,""
2024-09-25,"Gas Station",-51.75,"Transportation","Credit Card","Debit",0.7,false,""
2024-09-25,"Coffee Shop",-76.59,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-09-28,"Grocery Store",-129.85,"Groceries","Checking","Debit",0.75,false,""
2024-10-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-10-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-10-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-10-05,"Restaurant",-38.8,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-10-07,"Grocery Store",-120.35,"Groceries","Checking","Debit",0.75,false,""
2024-10-08,"Online Purchase",-211.63,"Shopping","Credit Card","Debit",0.5,false,""
2024-10-09,"Coffee Shop",-55.67,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-10-10,"Gas Station",-53.65,"Transportation","Credit Card","Debit",0.7,false,""
2024-10-13,"Restaurant",-72.33,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-10-14,"Grocery Store",-127.75,"Groceries","Checking","Debit",0.75,false,""
2024-10-16,"Movie Theater",-151.43,"Entertainment","Credit Card","Debit",0.5,false,""
2024-10-17,"Coffee Shop",-67.72,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-10-21,"Grocery Store",-135.72,"Groceries","Checking","Debit",0.75,false,""
2024-10-21,"Restaurant",-45.25,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-10-24,"Pharmacy",-186.09,"Healthcare","Checking","Debit",0.5,false,""
2024-10-25,"Gas Station",-45.06,"Transportation","Credit Card","Debit",0.7,false,""
2024-10-25,"Coffee Shop",-51.47,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-10-28,"Grocery Store",-111.55,"Groceries","Checking","Debit",0.75,false,""
2024-11-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-11-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-11-05,"Electric Bill",-120,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-11-05,"Restaurant",-58.93,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-11-07,"Grocery Store",-112.99,"Groceries","Checking","Debit",0.75,false,""
2024-11-08,"Online Purchase",-87.44,"Shopping","Credit Card","Debit",0.5,false,""
2024-11-09,"Coffee Shop",-28.31,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-11-10,"Gas Station",-59.14,"Transportation","Credit Card","Debit",0.7,false,""
2024-11-13,"Restaurant",-58.76,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-11-14,"Grocery Store",-147.44,"Groceries","Checking","Debit",0.75,false,""
2024-11-16,"Movie Theater",-126.68,"Entertainment","Checking","Debit",0.5,false,""
2024-11-17,"Coffee Shop",-25.73,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-11-21,"Grocery Store",-101.73,"Groceries","Checking","Debit",0.75,false,""
2024-11-21,"Restaurant",-38.6,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-11-24,"Pharmacy",-191.61,"Healthcare","Credit Card","Debit",0.5,false,""
2024-11-25,"Gas Station",-52.2,"Transportation","Credit Card","Debit",0.7,false,""
2024-11-25,"Coffee Shop",-73.02,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-11-28,"Grocery Store",-131.43,"Groceries","Checking","Debit",0.75,false,""
2024-12-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-12-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-12-05,"Electric Bill",-120,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-12-05,"Restaurant",-52.84,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-12-07,"Grocery Store",-132.61,"Groceries","Checking","Debit",0.75,false,""
2024-12-08,"Online Purchase",-83.06,"Shopping","Credit Card","Debit",0.5,false,""
2024-12-09,"Coffee Shop",-53.94,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-12-10,"Gas Station",-42.98,"Transportation","Credit Card","Debit",0.7,false,""
2024-12-13,"Restaurant",-30.84,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-12-14,"Grocery Store",-148.85,"Groceries","Checking","Debit",0.75,false,""
2024-12-16,"Movie Theater",-199.5,"Entertainment","Checking","Debit",0.5,false,""
2024-12-17,"Coffee Shop",-43.04,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-12-21,"Grocery Store",-122.09,"Groceries","Checking","Debit",0.75,false,""
2024-12-21,"Restaurant",-75.27,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-12-24,"Pharmacy",-91.15,"Healthcare","Checking","Debit",0.5,false,""
2024-12-25,"Gas Station",-61.97,"Transportation","Credit Card","Debit",0.7,false,""
2024-12-25,"Coffee Shop",-68.98,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-12-28,"Grocery Store",-111.68,"Groceries","Checking","Debit",0.75,false,""
2025-01-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2025-01-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2025-01-05,"Electric Bill",-120,"Utilities","Checking","Debit",0.85,true,"monthly"
2025-01-05,"Restaurant",-68.21,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-01-07,"Grocery Store",-137.37,"Groceries","Checking","Debit",0.75,false,""
2025-01-08,"Online Purchase",-174.18,"Shopping","Credit Card","Debit",0.5,false,""
2025-01-09,"Coffee Shop",-59.14,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-01-10,"Gas Station",-54.19,"Transportation","Credit Card","Debit",0.7,false,""
2025-01-13,"Restaurant",-51.17,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-01-14,"Grocery Store",-115.61,"Groceries","Checking","Debit",0.75,false,""
2025-01-16,"Movie Theater",-189.69,"Entertainment","Checking","Debit",0.5,false,""
2025-01-17,"Coffee Shop",-68.38,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-01-21,"Grocery Store",-105.14,"Groceries","Checking","Debit",0.75,false,""
2025-01-21,"Restaurant",-43.7,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-01-24,"Pharmacy",-31.5,"Healthcare","Checking","Debit",0.5,false,""
2025-01-25,"Gas Station",-53.97,"Transportation","Credit Card","Debit",0.7,false,""
2025-01-25,"Coffee Shop",-74.72,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-01-28,"Grocery Store",-143.83,"Groceries","Checking","Debit",0.75,false,""
2025-03-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2025-03-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2025-03-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2025-03-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2025-03-05,"Electric Bill",-120,"Utilities","Checking","Debit",0.85,true,"monthly"
2025-03-05,"Restaurant",-64.42,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2025-03-05,"Restaurant",-74.1,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-07,"Grocery Store",-115.15,"Groceries","Checking","Debit",0.75,false,""
2025-03-07,"Grocery Store",-129.55,"Groceries","Checking","Debit",0.75,false,""
2025-03-08,"Online Purchase",-33.96,"Shopping","Credit Card","Debit",0.5,false,""
2025-03-08,"Online Purchase",-70.08,"Shopping","Checking","Debit",0.5,false,""
2025-03-09,"Coffee Shop",-36.72,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-09,"Coffee Shop",-68.1,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-10,"Gas Station",-50.66,"Transportation","Credit Card","Debit",0.7,false,""
2025-03-10,"Gas Station",-44.08,"Transportation","Credit Card","Debit",0.7,false,""
2025-03-13,"Restaurant",-75.11,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-13,"Restaurant",-72.98,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-14,"Grocery Store",-102.59,"Groceries","Checking","Debit",0.75,false,""
2025-03-14,"Grocery Store",-103.78,"Groceries","Checking","Debit",0.75,false,""
2025-03-16,"Movie Theater",-25.05,"Entertainment","Checking","Debit",0.5,false,""
2025-03-16,"Movie Theater",-100.1,"Entertainment","Checking","Debit",0.5,false,""
2025-03-17,"Coffee Shop",-62.58,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-17,"Coffee Shop",-52.43,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-21,"Grocery Store",-109.4,"Groceries","Checking","Debit",0.75,false,""
2025-03-21,"Restaurant",-45.92,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-21,"Grocery Store",-130.25,"Groceries","Checking","Debit",0.75,false,""
2025-03-21,"Restaurant",-70.67,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-24,"Pharmacy",-80.72,"Healthcare","Checking","Debit",0.5,false,""
2025-03-24,"Pharmacy",-41.36,"Healthcare","Checking","Debit",0.5,false,""
2025-03-25,"Gas Station",-59.32,"Transportation","Credit Card","Debit",0.7,false,""
2025-03-25,"Coffee Shop",-35.76,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-25,"Gas Station",-57.11,"Transportation","Credit Card","Debit",0.7,false,""
2025-03-25,"Coffee Shop",-40.21,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-03-28,"Grocery Store",-133.7,"Groceries","Checking","Debit",0.75,false,""
2025-03-28,"Grocery Store",-111.55,"Groceries","Checking","Debit",0.75,false,""
2025-04-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2025-04-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2025-04-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2025-04-05,"Restaurant",-58.02,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-04-07,"Grocery Store",-118.7,"Groceries","Checking","Debit",0.75,false,""
2025-04-08,"Online Purchase",-213.87,"Shopping","Checking","Debit",0.5,false,""
2025-04-09,"Coffee Shop",-54.91,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-04-10,"Gas Station",-57.01,"Transportation","Credit Card","Debit",0.7,false,""
2025-04-13,"Restaurant",-65.6,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-04-14,"Grocery Store",-132.39,"Groceries","Checking","Debit",0.75,false,""
2025-04-16,"Movie Theater",-114.98,"Entertainment","Checking","Debit",0.5,false,""
2025-04-17,"Coffee Shop",-47.15,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-04-21,"Grocery Store",-148.89,"Groceries","Checking","Debit",0.75,false,""
2025-04-21,"Restaurant",-15.95,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-04-24,"Pharmacy",-80.73,"Healthcare","Credit Card","Debit",0.5,false,""
2025-04-25,"Gas Station",-41.03,"Transportation","Credit Card","Debit",0.7,false,""
2025-04-25,"Coffee Shop",-52.25,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-04-28,"Grocery Store",-102.19,"Groceries","Checking","Debit",0.75,false,""
2025-05-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2025-05-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2025-05-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2025-05-05,"Restaurant",-65.82,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-05-07,"Grocery Store",-116.82,"Groceries","Checking","Debit",0.75,false,""
2025-05-08,"Online Purchase",-220.13,"Shopping","Credit Card","Debit",0.5,false,""
2025-05-09,"Coffee Shop",-73.49,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-05-10,"Gas Station",-62.59,"Transportation","Credit Card","Debit",0.7,false,""
2025-05-13,"Restaurant",-65.06,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-05-14,"Grocery Store",-143.58,"Groceries","Checking","Debit",0.75,false,""
2025-05-16,"Movie Theater",-166.81,"Entertainment","Checking","Debit",0.5,false,""
2025-05-17,"Coffee Shop",-49.72,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-05-21,"Grocery Store",-128.03,"Groceries","Checking","Debit",0.75,false,""
2025-05-21,"Restaurant",-43.67,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-05-24,"Pharmacy",-202.58,"Healthcare","Checking","Debit",0.5,false,""
2025-05-25,"Gas Station",-58.38,"Transportation","Credit Card","Debit",0.7,false,""
2025-05-25,"Coffee Shop",-67.46,"Food & Dining","Credit Card","Debit",0.6,false,""
2025-05-28,"Grocery Store",-101.5,"Groceries","Checking","Debit",0.75,false,""